date,state,tot_cases,conf_cases
22/01/20,OH,0,
22/01/20,GA,0,
22/01/20,OK,0,
22/01/20,NM,0,
22/01/20,HI,0,
22/01/20,TN,0,
22/01/20,WV,0,
22/01/20,AK,0,
22/01/20,SD,0,
22/01/20,RI,0,
22/01/20,KY,0,
22/01/20,IL,0,
22/01/20,ME,0,
22/01/20,NV,0,
22/01/20,NJ,0,
22/01/20,NE,0,
22/01/20,SC,0,
22/01/20,CT,0,
22/01/20,MO,0,
22/01/20,MS,0,
22/01/20,MT,0,
22/01/20,GU,0,
22/01/20,IN,0,
22/01/20,LA,0,
22/01/20,WY,0,
22/01/20,CA,0,
22/01/20,ND,0,
22/01/20,DE,0,
22/01/20,DC,0,
22/01/20,VI,0,
22/01/20,OR,0,
22/01/20,NH,0,
22/01/20,VA,0,
22/01/20,WI,0,
22/01/20,WA,1,
22/01/20,VT,0,
22/01/20,FSM,0,
22/01/20,AL,38,32
22/01/20,MN,0,
22/01/20,NC,0,
22/01/20,ID,0,
22/01/20,MI,0,
22/01/20,MD,0,
22/01/20,AZ,0,
22/01/20,PW,0,
22/01/20,NY,0,
22/01/20,RMI,0,
22/01/20,MP,0,
22/01/20,NYC,0,
22/01/20,MA,0,
22/01/20,TX,0,
22/01/20,KS,0,
22/01/20,UT,0,
22/01/20,AR,0,
22/01/20,PR,0,
22/01/20,IA,0,
22/01/20,CO,0,
22/01/20,FL,0,
22/01/20,PA,0,
22/01/20,AS,0,
23/01/20,PR,0,
23/01/20,SD,0,
23/01/20,KS,0,
23/01/20,MP,0,
23/01/20,AR,0,
23/01/20,HI,0,
23/01/20,UT,0,
23/01/20,PW,0,
23/01/20,GA,0,
23/01/20,NY,0,
23/01/20,CO,0,
23/01/20,TX,0,
23/01/20,FSM,0,
23/01/20,OR,0,
23/01/20,ME,0,
23/01/20,ND,0,
23/01/20,NJ,0,
23/01/20,NH,0,
23/01/20,CT,0,
23/01/20,AZ,0,
23/01/20,DC,0,
23/01/20,WA,1,
23/01/20,RI,0,
23/01/20,VA,0,
23/01/20,NV,0,
23/01/20,MI,0,
23/01/20,IL,0,
23/01/20,KY,0,
23/01/20,WI,0,
23/01/20,WY,0,
23/01/20,VI,0,
23/01/20,SC,0,
23/01/20,ID,0,
23/01/20,AL,39,33
23/01/20,LA,0,
23/01/20,MS,0,
23/01/20,MO,0,
23/01/20,MD,0,
23/01/20,CA,0,
23/01/20,IN,0,
23/01/20,DE,0,
23/01/20,MT,0,
23/01/20,GU,0,
23/01/20,VT,0,
23/01/20,MN,0,
23/01/20,NE,0,
23/01/20,NC,0,
23/01/20,AS,0,
23/01/20,AK,0,
23/01/20,OK,0,
23/01/20,NYC,0,
23/01/20,RMI,0,
23/01/20,FL,0,
23/01/20,OH,0,
23/01/20,PA,0,
23/01/20,WV,0,
23/01/20,IA,0,
23/01/20,NM,0,
23/01/20,MA,0,
23/01/20,TN,0,
24/01/20,AS,0,
24/01/20,TN,0,
24/01/20,MA,0,
24/01/20,RMI,0,
24/01/20,NY,0,
24/01/20,PR,0,
24/01/20,IA,0,
24/01/20,AK,0,
24/01/20,PW,0,
24/01/20,NYC,0,
24/01/20,CO,0,
24/01/20,WV,0,
24/01/20,AR,0,
24/01/20,NE,0,
24/01/20,VI,0,
24/01/20,ND,0,
24/01/20,SC,0,
24/01/20,MS,0,
24/01/20,NH,0,
24/01/20,GU,0,
24/01/20,NC,0,
24/01/20,MI,0,
24/01/20,CT,0,
24/01/20,ME,0,
24/01/20,OR,0,
24/01/20,DC,0,
24/01/20,MN,0,
24/01/20,AZ,0,
