city,zip_code,state,state_name,country
SEATTLE,98134,WA,WASHINGTON,US
ANCHORAGE,99515,AK,ALASKA,US
COLUMBIA,21075,MD,MARYLAND,US
TUSTIN,92782,CA,CALIFORNIA,US
TUSTIN,92782,CA,CALIFORNIA,US
ANTIOCH,94509,CA,CALIFORNIA,US
WOODLAND,95776,CA,CALIFORNIA,US
NE,95131,CA,CALIFORNIA,US
GREENVILLE,29607,SC,SOUTH CAROLINA,US
SELMA,78154,TX,TEXAS,US
TOLEDO,43606,OH,OHIO,US
SPARTANBURG,29301,SC,SOUTH CAROLINA,US
MONTGOMERY,36117,AL,ALABAMA,US
BEND,97701,OR,OREGON,US
VICTORVILLE,92395,CA,CALIFORNIA,US
CHICO,95928,CA,CALIFORNIA,US
OMAHA,68154,NE,NEBRASKA,US
UNION,98903,WA,WASHINGTON,US
E,80922,CO,COLORADO,US
SAN,91773,CA,CALIFORNIA,US
NW,87114,NM,NEW MEXICO,US
VISALIA,93277,CA,CALIFORNIA,US
GALLERIA,77027,TX,TEXAS,US
SOUTH,84095,UT,UTAH,US
MIDDLETON,53562,WI,WISCONSIN,US
MAPLEWOOD,55109,MN,MINNESOTA,US
PARKER,80138,CO,COLORADO,US
KENDALL,33186,FL,FLORIDA,US
MANAHAWKIN,8050,NJ,NEW JERSEY,US
TALLAHASSEE,32317,FL,FLORIDA,US
SHERIDAN,80110,CO,COLORADO,US
MESA,85209,AZ,ARIZONA,US
COVINGTON,98042,WA,WASHINGTON,US
CLARKSTON,99403,WA,WASHINGTON,US
W,80918,CO,COLORADO,US
MANTECA,95337,CA,CALIFORNIA,US
POCATELLO,83201,ID,IDAHO,US
BLOOMFIELD,48302,MI,MICHIGAN,US
KAPOLEI,96707,HI,HAWAII,US
BRANDYWINE,20613,MD,MARYLAND,US
ST,60174,IL,ILLINOIS,US
REDWOOD,94063,CA,CALIFORNIA,US
ROCKWALL,75032,TX,TEXAS,US
LAKEWOOD,90712,CA,CALIFORNIA,US
PARADISE,85032,AZ,ARIZONA,US
WARRENTON,97146,OR,OREGON,US
AURORA,98133,WA,WASHINGTON,US
MANCHESTER,63011,MO,MISSOURI,US
HAYWARD,94545,CA,CALIFORNIA,US
MANHATTAN,10035,NY,NEW YORK,US
JUNEAU,99801,AK,ALASKA,US
REGO,11374,NY,NEW YORK,US
PACOIMA,91331,CA,CALIFORNIA,US
ROSEBURG,97470,OR,OREGON,US
METTAWA,60045,IL,ILLINOIS,US
WOODMORE,20706,MD,MARYLAND,US
SW,85713,AZ,ARIZONA,US
SAN,92069,CA,CALIFORNIA,US
SANATOGA,19464,PA,PENNSYLVANIA,US
FORT,30736,GA,GEORGIA,US
BROOKHAVEN,30319,GA,GEORGIA,US
MELROSE,60160,IL,ILLINOIS,US
E,98607,WA,WASHINGTON,US
BURNSVILLE,55337,MN,MINNESOTA,US
BOLINGBROOK,60440,IL,ILLINOIS,US
CHESTERFIELD,23235,VA,VIRGINIA,US
LODI,95240,CA,CALIFORNIA,US
MARLBORO,7751,NJ,NEW JERSEY,US
FRISCO,75033,TX,TEXAS,US
ISSAQUAH,98027,WA,WASHINGTON,US
US,98027,WA,WASHINGTON,US
PEWAUKEE,53072,WI,WISCONSIN,US
AUGUSTA,30909,GA,GEORGIA,US
BUCKS,18974,PA,PENNSYLVANIA,US
PITTSFIELD,48108,MI,MICHIGAN,US
CHICAGO,60608,IL,ILLINOIS,US
PHARR,78577,TX,TEXAS,US
TIGARD,97223,OR,OREGON,US
HUNTINGTON,92647,CA,CALIFORNIA,US
CORALVILLE,52241,IA,IOWA,US
CONCORDVILLE,19342,PA,PENNSYLVANIA,US
MT,22306,VA,VIRGINIA,US
FARRAGUT,37934,TN,TENNESSEE,US
SPANISH,84660,UT,UTAH,US
WEST,58078,ND,NORTH DAKOTA,US
WENATCHEE,98802,WA,WASHINGTON,US
WASHINGTON,20018,DC,DISTRICT OF COLUMBIA,US
SUN,53590,WI,WISCONSIN,US
BAXTER,56425,MN,MINNESOTA,US
SARASOTA,34238,FL,FLORIDA,US
WHEATON,20902,MD,MARYLAND,US
ROCHESTER,55901,MN,MINNESOTA,US
EAST,61611,IL,ILLINOIS,US
SALT,84115,UT,UTAH,US
EVERETT,98208,WA,WASHINGTON,US
SUGAR,77479,TX,TEXAS,US
NEW,70118,LA,LOUISIANA,US
LYNNWOOD,98036,WA,WASHINGTON,US
CEDAR,78613,TX,TEXAS,US
NORTH,60546,IL,ILLINOIS,US
LEXINGTON,40509,KY,KENTUCKY,US
SIOUX,57105,SD,SOUTH DAKOTA,US
ALBUQUERQUE,87107,NM,NEW MEXICO,US
EASTON,43219,OH,OHIO,US
FORT,46808,IN,INDIANA,US
BELLEVUE,54311,WI,WISCONSIN,US
LUBBOCK,79407,TX,TEXAS,US
NORTH,7060,NJ,NEW JERSEY,US
W,77494,TX,TEXAS,US
WESTLAKE,91362,CA,CALIFORNIA,US
BATON,70809,LA,LOUISIANA,US
N,76177,TX,TEXAS,US
NORTH,8902,NJ,NEW JERSEY,US
CUMMING,30041,GA,GEORGIA,US
SYRACUSE,13031,NY,NEW YORK,US
WAYNE,7470,NJ,NEW JERSEY,US
TIMNATH,80547,CO,COLORADO,US
