wh_id,warehouse_name
1,WAREHOUSE 1 SEATTLE
10,WAREHOUSE 10 ANCHORAGE
1000,WAREHOUSE 1000 COLUMBIA
1001,WAREHOUSE 1001 TUSTIN
122,WAREHOUSE 122 TUSTIN RANCH
1002,WAREHOUSE 1002 ANTIOCH
1003,WAREHOUSE 1003 WOODLAND
1004,WAREHOUSE 1004 NE SAN JOSE
1005,WAREHOUSE 1005 GREENVILLE
1006,WAREHOUSE 1006 SELMA
1007,WAREHOUSE 1007 TOLEDO
1008,WAREHOUSE 1008 SPARTANBURG
1009,WAREHOUSE 1009 MONTGOMERY
101,WAREHOUSE 101 BEND
1010,WAREHOUSE 1010 VICTORVILLE
1011,WAREHOUSE 1011 CHICO
1012,WAREHOUSE 1012 OMAHA
1013,WAREHOUSE 1013 UNION GAP
1014,WAREHOUSE 1014 E COLORADO SPRINGS
1015,WAREHOUSE 1015 SAN DIMAS
1016,WAREHOUSE 1016 NW ALBUQUERQUE
1017,WAREHOUSE 1017 VISALIA
1018,WAREHOUSE 1018 GALLERIA
1019,WAREHOUSE 1019 SOUTH JORDAN
1020,WAREHOUSE 1020 MIDDLETON
1021,WAREHOUSE 1021 MAPLEWOOD
1022,WAREHOUSE 1022 PARKER
1023,WAREHOUSE 1023 KENDALL
1025,WAREHOUSE 1025 MANAHAWKIN
1026,WAREHOUSE 1026 TALLAHASSEE
1027,WAREHOUSE 1027 SHERIDAN
1028,WAREHOUSE 1028 MESA
1029,WAREHOUSE 1029 COVINGTON
103,WAREHOUSE 103 CLARKSTON
1030,WAREHOUSE 1030 W COLORADO SPRINGS
1031,WAREHOUSE 1031 MANTECA
1033,WAREHOUSE 1033 POCATELLO
1037,WAREHOUSE 1037 BLOOMFIELD
1038,WAREHOUSE 1038 KAPOLEI
1039,WAREHOUSE 1039 BRANDYWINE
1040,WAREHOUSE 1040 ST CHARLES
1042,WAREHOUSE 1042 REDWOOD CITY
1049,WAREHOUSE 1049 ROCKWALL
1050,WAREHOUSE 1050 LAKEWOOD
1058,WAREHOUSE 1058 PARADISE VALLEY
1059,WAREHOUSE 1059 WARRENTON
106,WAREHOUSE 106 AURORA VILLAGE
1060,WAREHOUSE 1060 MANCHESTER MO
1061,WAREHOUSE 1061 HAYWARD
1062,WAREHOUSE 1062 MANHATTAN
107,WAREHOUSE 107 JUNEAU
1070,WAREHOUSE 1070 REGO PARK
1071,WAREHOUSE 1071 PACOIMA
1073,WAREHOUSE 1073 ROSEBURG
1074,WAREHOUSE 1074 METTAWA
1078,WAREHOUSE 1078 WOODMORE TOWNE CENTRE
1079,WAREHOUSE 1079 SW TUCSON
1080,WAREHOUSE 1080 SAN MARCOS
1081,WAREHOUSE 1081 SANATOGA
1083,WAREHOUSE 1083 FORT OGLETHORPE
1084,WAREHOUSE 1084 BROOKHAVEN
1085,WAREHOUSE 1085 MELROSE PARK
1086,WAREHOUSE 1086 E VANCOUVER WA
1087,WAREHOUSE 1087 BURNSVILLE
1088,WAREHOUSE 1088 BOLINGBROOK
1089,WAREHOUSE 1089 CHESTERFIELD
1091,WAREHOUSE 1091 LODI
1093,WAREHOUSE 1093 MARLBORO
1097,WAREHOUSE 1097 FRISCO
110,WAREHOUSE 110 ISSAQUAH
847,WAREHOUSE 847 US ECOMMERCE
1101,WAREHOUSE 1101 PEWAUKEE
1102,WAREHOUSE 1102 AUGUSTA
1103,WAREHOUSE 1103 BUCKS COUNTY
1106,WAREHOUSE 1106 PITTSFIELD TOWNSHIP
1107,WAREHOUSE 1107 CHICAGO SOUTH LOOP
1108,WAREHOUSE 1108 PHARR
111,WAREHOUSE 111 TIGARD
1110,WAREHOUSE 1110 HUNTINGTON BEACH
1111,WAREHOUSE 1111 CORALVILLE
1114,WAREHOUSE 1114 CONCORDVILLE
1115,WAREHOUSE 1115 MT VERNON
1116,WAREHOUSE 1116 FARRAGUT
1118,WAREHOUSE 1118 SPANISH FORK
1119,WAREHOUSE 1119 WEST FARGO ND
112,WAREHOUSE 112 WENATCHEE
1120,WAREHOUSE 1120 WASHINGTON DC
1121,WAREHOUSE 1121 SUN PRAIRIE
1122,WAREHOUSE 1122 BAXTER
1123,WAREHOUSE 1123 SARASOTA MALL
1124,WAREHOUSE 1124 WHEATON
1125,WAREHOUSE 1125 ROCHESTER MN
1126,WAREHOUSE 1126 EAST PEORIA
